timestamp,aqi,pm25,pm10,no2,o3,so2,co,eu_aqi,dust,uv_index,city,lat,lon,source,temperature,humidity,precipitation,wind_speed,wind_direction,pressure,cloud_cover,pm25_forecast,aqi_forecast,year,month,day,hour,dayofweek,dayofyear,week,hour_sin,hour_cos,month_sin,month_cos,day_sin,day_cos,is_weekend,is_rush_hour,season
2025-07-05 00:00:00,58.0,14.3,23.6,11.8,85.0,19.9,154.0,34.0,1.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,23.3,92.0,0.0,6.2,324.0,1009.9,0.0,13.4,57.0,2025,7,5,0,5,186,27,0.0,1.0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 01:00:00,57.0,15.0,24.4,11.3,84.0,22.3,150.0,34.0,1.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,23.0,94.0,0.0,5.9,313.0,1009.5,0.0,13.4,57.0,2025,7,5,1,5,186,27,0.25881904510252074,0.9659258262890683,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 02:00:00,57.0,15.7,25.2,12.0,80.0,22.9,142.0,32.0,1.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,22.6,95.0,0.0,5.5,314.0,1009.2,0.0,13.4,57.0,2025,7,5,2,5,186,27,0.49999999999999994,0.8660254037844387,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 03:00:00,57.0,15.4,26.1,12.0,78.0,22.3,138.0,31.0,0.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,22.2,96.0,0.0,5.5,314.0,1009.0,0.0,13.4,57.0,2025,7,5,3,5,186,27,0.7071067811865476,0.7071067811865476,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 04:00:00,57.0,16.8,26.4,11.7,87.0,21.3,136.0,35.0,0.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,21.7,96.0,0.0,4.9,327.0,1009.1,0.0,13.4,57.0,2025,7,5,4,5,186,27,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 05:00:00,57.0,16.7,26.7,11.1,88.0,19.8,136.0,35.0,0.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,21.4,97.0,0.0,4.4,322.0,1009.1,0.0,13.4,57.0,2025,7,5,5,5,186,27,0.9659258262890683,0.25881904510252074,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 06:00:00,57.0,16.0,26.6,11.5,87.0,19.4,138.0,35.0,0.0,0.0,Alexandria,31.2001,29.9187,Open-Meteo,21.3,98.0,0.0,3.5,332.0,1009.2,0.0,13.4,57.0,2025,7,5,6,5,186,27,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,0,3
2025-07-05 07:00:00,57.0,17.2,26.4,15.5,87.0,20.3,144.0,35.0,0.0,0.3,Alexandria,31.2001,29.9187,Open-Meteo,22.8,96.0,0.0,4.3,343.0,1009.6,0.0,13.4,57.0,2025,7,5,7,5,186,27,0.9659258262890683,-0.25881904510252063,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,1,3
2025-07-05 08:00:00,58.0,18.5,32.1,17.3,88.0,26.9,149.0,35.0,0.0,1.3,Alexandria,31.2001,29.9187,Open-Meteo,25.4,79.0,0.0,5.4,345.0,1009.9,0.0,13.4,57.0,2025,7,5,8,5,186,27,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,1,3
2025-07-05 09:00:00,58.0,19.5,35.8,15.3,83.0,57.2,153.0,33.0,0.0,3.2,Alexandria,31.2001,29.9187,Open-Meteo,27.4,65.0,0.0,5.1,337.0,1010.1,0.0,13.4,57.0,2025,7,5,9,5,186,27,0.7071067811865476,-0.7071067811865475,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,1,3
